127.0.0.1 - - [28/Apr/2019:10:27:19 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:30 +0800] "GET /jobReview/ HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:30 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:30 +0800] "GET /jobReview/img/loginbg.jpg HTTP/1.1" 200 16758
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:30 +0800] "GET /jobReview/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:34 +0800] "POST /jobReview/login.action HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:34 +0800] "GET /jobReview/teacherIndex.action HTTP/1.1" 200 5003
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:34 +0800] "GET /jobReview/codemirror/lib/codemirror.css HTTP/1.1" 200 8542
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:34 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:35 +0800] "GET /jobReview/teacherToClassManage.action HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:35 +0800] "GET /jobReview/js/classManager.js HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:35 +0800] "GET /jobReview/js/classManagerPagin.js HTTP/1.1" 200 5618
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:35 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:35 +0800] "POST /jobReview/teacherGetClassTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:35 +0800] "POST /jobReview/teacherGetClassList.action HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/teacherToClassInfo.action?classId=2 HTTP/1.1" 200 25746
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/laydate/laydate.js HTTP/1.1" 200 27378
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/js/classInfoTaskPaging.js HTTP/1.1" 200 7789
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/js/classInfoStudentPaging.js HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/js/classInfoGroupPaging.js HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/js/classInfoBasic.js HTTP/1.1" 200 11526
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/js/classInfo.js HTTP/1.1" 200 10618
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "GET /jobReview/laydate/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/teacherGetClassTaskTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/teacherGetClassTaskList.action HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/teacherGetStudentCount.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/teacherGetGroupTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:38 +0800] "POST /jobReview/teacherGetGroupList.action HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:40 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:40 +0800] "POST /jobReview/teacherGetClassTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:40 +0800] "POST /jobReview/teacherGetClassList.action HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:44 +0800] "POST /jobReview/teacherUpdateClass.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:44 +0800] "POST /jobReview/teacherGetClassList.action HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "GET /jobReview/teacherToClassInfo.action?classId=2 HTTP/1.1" 200 25746
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/teacherGetClassTaskTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/teacherGetClassTaskList.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/teacherGetStudentCount.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/teacherGetGroupTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:46 +0800] "POST /jobReview/teacherGetGroupList.action HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:49 +0800] "POST /jobReview/teacherGetFinalExam.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:27:57 +0800] "POST /jobReview/teacherGetFinalExam.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:20 +0800] "GET /jobReview/teacherToClassInfo.action?classId=2 HTTP/1.1" 200 25746
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:20 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:20 +0800] "POST /jobReview/teacherGetClassTaskTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:20 +0800] "POST /jobReview/teacherGetClassTaskList.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:21 +0800] "POST /jobReview/teacherGetStudentCount.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:21 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:21 +0800] "POST /jobReview/teacherGetGroupTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:21 +0800] "POST /jobReview/teacherGetGroupList.action HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:32:21 +0800] "GET /jobReview/img/favicon.ico HTTP/1.1" 200 1150
